Day명,단어,뜻1,뜻2,문장1,문장1해석,문장2,문장2해석
Day 29,just,"바로, 딱","방금, 막   3. 단지, 다만",He wore a uniform just like hers.,교과서 그는 딱 그녀의 것과 같은 유니폼을 입었다.,I just ate dinner.,나는 막 저녁을 먹었다.
Day 29,toe,발가락,,These new shoes make my toes hurt.,이 새 신발은 내 발가락을 아프게 한다.,the big[little] toe,엄지[새끼]발가락
Day 29,skill,"기량, 솜씨",기술,Writing skills are important for my job.,교과서 글쓰기 솜씨는 내 직업에 있어서 중요하다.,learn a skill,기술을 배우다
Day 29,mix,섞이다,섞다,The colors mixed well.,그 색깔들은 잘 섞였다.,I mixed the butter and sugar together.,나는 버터와 설탕을 함께 섞었다.
Day 29,wide,(폭이) 넓은,,This road is very wide.,이 도로는 매우 넓다.,width,"명 폭, 너비"
Day 29,area,지역,(특정 용도의) 구역,They live in that area.,그들은 저 지역에 산다.,a free parking area,무료 주차 구역
Day 29,band,(음악을 연주하는) 밴드,"끈, 띠",We are members of the school band.,교과서 우리는 학교 밴드의 구성원이다.,She tied her hair with a band.,그녀는 끈으로 머리를 묶었다.
Day 29,danger,위험(성),,The family was in danger because of the fire.,그 가족은 화재 때문에 위험에 처했다.,0605 dangerous,형 위험한
Day 29,nail,"손톱, 발톱",못    동 못으로 박다,He cuts his nails often.,그는 손톱을 자주 깎는다.,pull out a nail,못을 뽑다
Day 29,building,건물,,This building will be turned into a museum.,이 건물은 박물관으로 바뀔 것이다.,0557 build,"동 짓다, 세우다"
Day 29,golden,금으로 만든,금빛의,She wears a golden ring on her finger.,그녀는 손가락에 금반지를 끼고 있다.,There was a little girl with golden hair in a small town.,교과서 작은 마을에 금빛 머리카락을 가진 소녀가 있었다.
Day 29,remember,기억하다,,"Remember, every language is hard at first.","교과서 기억해라, 모든 언어는 처음엔 어렵다.",DAY 29,
Day 29,run away,도망가다,,The mouse ran away from the cat.,그 쥐가 고양이로부터 도망쳤다.,,
Day 29,line up,줄을 서다,,They lined up to board the ship.,그들은 그 배에 탑승하기 위해 줄을 섰다.,IDIOMS & PHRASES,영단어 우리말 뜻 영단어 우리말 뜻 잘 외워지지 않는 영단어를 아래 빈칸에 다시 써 봅시다.
Day 30,proud,자랑스러워하는,자랑스러운,I was proud of myself.,교과서 나는 내 자신이 자랑스러웠다.,a proud moment,자랑스러운 순간
Day 30,test,시험,검사,I took an English test.,나는 영어 시험을 봤다.,an eye test,시력 검사
Day 30,brain,뇌,,He got his brain scanned at the hospital.,그는 병원에서 뇌 정밀 검사를 받았다.,,
Day 30,teenager,십 대,,Many teenagers like dance music.,많은 십 대들이 댄스 음악을 좋아한다.,10 (ten) / 11 (eleven) / 12 (twelve) / 13 (thirteen) ~ 19 (nineteen),
Day 30,trick,속임수    동 속이다,,She played a trick on me.,그녀는 나에게 속임수를 썼다.,Don't try to trick me!,나를 속이려 하지 마!
Day 30,singer,가수,,Who is your favorite singer?,네가 가장 좋아하는 가수는 누구니?,sing,"동 노래하다, (노래를) 부르다"
Day 30,someone,어떤 사람,누구,Someone ate my soup and broke my chair.,교과서 누군가 내 수프를 먹고 내 의자를 부쉈어.,,
Day 30,bite,(bit-bitten) (이빨로) 베어 물다    명 한 입 (베어 문 조각),,The dog likes to bite the toy.,그 개는 장난감을 물어뜯는 것을 좋아한다.,I took a bite of the apple.,나는 사과를 한 입 베어 물었다.
Day 30,musical,음악의,음악적인    명 뮤지컬,She can play many musical instruments.,그녀는 여러 가지 악기를 연주할 수 있다.,The man is a musical actor.,그 남자는 뮤지컬 배우이다.
Day 30,surprising,놀라운,,She told me a surprising story.,그녀는 내게 놀라운 이야기를 말해주었다.,0704 surprise,명 놀라운 일;  동 놀라게 하다
Day 30,tour,여행 동 여행하다,관광하다,He went on a tour of Spain.,그는 스페인 여행을 떠났다.,I toured London last month.,나는 지난달에 런던을 여행했다.
Day 30,shake,"(shook-shaken) 1. 흔들리다, 흔들다","(몸이) 떨리다, 떨다",Please shake the bottle well.,병을 잘 흔들어 주세요.,His hands were shaking.,그의 손은 떨리고 있었다.
Day 30,ring,반지    동 (rang-rung) (소리가) 울리다,,She is wearing a diamond ring.,그녀는 다이아몬드 반지를 끼고 있다.,The bell rings.,교과서 종이 울린다. 고대 로마 남성이 여성에게 약혼 반지를 주면서 결혼을 약속하는 전통이 있었습니다.
Day 30,shape,태,모양,I made the dish in the shape of a heart.,나는 그 접시를 하트 모양으로 만들었다.,a square shape,사각형 모양
Day 30,drop,떨어지다,떨어뜨리다    명 방울,The apples dropped from the tree.,사과들이 나무에서 떨어졌다.,He dropped a pen on the floor.,그는 펜을 바닥에 떨어뜨렸다.
Day 30,sunglasses,선글라스,색안경,I wear sunglasses when I go out.,나는 외출할 때 선글라스를 쓴다.,,
Day 30,film,영화 movie    동 촬영하다,찍다,She watched a film yesterday.,그녀는 어제 영화를 보았다.,Can you film me while I dance?,내가 춤추는 동안 나를 촬영해 줄 수 있어?
Day 30,office,사무실,,He is working in the office now.,그는 지금 사무실에서 일하고 있다.,an office worker,"회사원, 사무 직원"
Day 30,give up,포기하다,,Don't give up on your dreams.,네 꿈을 포기하지 마라.,,
Day 30,take care of,…을 돌보다,,She takes care of three children.,그녀는 3명의 아이들을 돌본다.,IDIOMS & PHRASES,영단어 우리말 뜻 영단어 우리말 뜻 잘 외워지지 않는 영단어를 아래 빈칸에 다시 써 봅시다.
Day 31,few,(수량이) 거의 없는,,Few people came to the party.,그 파티에 온 사람은 거의 없었다.,few,"와 a few는 둘 다 ‘몇 개의'라는 의미를 가지지만, 그 뉘앙스에는 차이가 있습니다."
Day 31,false,"틀린, 거짓의 true","가짜의, 인조의",Is that story true or false?,그 이야기는 진실이니 거짓이니?,false teeth,의치[틀니]
Day 31,gas,기체,(난방 · 조리용) 가스   3. 휘발유,There are a lot of gases in the air.,공기 중에는 많은 기체가 있다.,They heat their house with gas.,그들은 가스로 그들의 집을 따뜻하게 한다.
Day 31,lose,(lost-lost) 1. 잃어버리다,(시합 등에서) 지다,He lost his car key.,그는 자동차 열쇠를 잃어버렸다.,Our team lost the game.,우리 팀은 그 경기에서 졌다.
Day 31,dangerous,위험한,,"Sometimes, dangerous accidents happen.","교과서 때때로, 위험한 사고가 발생한다.",0574 danger,명 위험(성)
Day 31,exam,시험,검사,He is studying hard for the exam.,그는 시험을 위해 열심히 공부하고 있다.,The doctor gave me an eye exam.,의사가 내 시력 검사를 했다.
Day 31,trip,여행,,How was your trip to Busan?,부산 여행은 어땠니?,take[go on] a trip,여행하다
Day 31,visit,방문하다    명 방문,,"Last summer, I visited my uncle in Alaska.","교과서 지난여름에, 나는 알래스카에 사는 삼촌을 방문했다.",This is his first visit to Korea.,이번이 그의 첫 한국 방문이다.
Day 31,camp,야영지,캠프    동 야영[캠핑]하다,The kids were at camp.,아이들은 야영지에 있었다.,We camped near the lake.,우리는 호숫가 근처에서 야영했다.
Day 31,basket,바구니,,She came in with a basket of cookies.,교과서 그녀는 쿠키가 든 바구니를 들고 들어왔다.,basketball(,농구)은 두 팀이 패스와 드리블을 하며 상대팀의 basket(바구니)에 슛을
Day 31,note,"쪽지, 메모","((-s)) (수업 등의) 필기, 노트",My mother left a note for me.,엄마는 내게 쪽지를 남기셨다.,I always take notes in class.,나는 항상 수업 시간에 필기를 한다.
Day 31,grass,풀,((the ...)) 잔디(밭),The rabbits are eating grass.,토끼들이 풀을 먹고 있다.,The children are playing on the grass.,아이들이 잔디 위에서 놀고 있다.
Day 31,pass,"지나가다, 통과하다",합격하다,She passes the store every day.,그녀는 그 가게를 매일 지나간다.,The train passed through the tunnel.,그 기차가 터널을 통과했다.
Day 31,until,…까지    접 …할 때까지,,The store is open until 9 p.m.,그 가게는 오후 9시까지 문을 연다.,Wait until I come back.,내가 돌아올 때까지 기다려라.
Day 31,pot,냄비,솥,He is cooking soup in the pot.,그는 냄비에 수프를 요리하고 있다.,,
Day 31,same,같은,동일한,My best friend and I are in the same class.,교과서 나는 가장 친한 친구와 같은 반이다.,,
Day 31,seafood,해산물,,My family doesn't eat seafood often.,우리 가족은 해산물을 자주 먹지 않는다.,a seafood restaurant,해산물 식당
Day 31,plant,식물    동 (나무 등을) 심다,,I water the plant every morning.,나는 매일 아침 그 식물에 물을 준다.,He planted a tree in the garden.,그는 정원에 나무 한 그루를 심었다.
Day 31,each other,서로,,They looked at each other.,그들은 서로 바라보았다.,,
Day 31,do one's best,최선을 다하다,,Do your best on the test.,시험에 최선을 다해라.,IDIOMS & PHRASES,영단어 우리말 뜻 영단어 우리말 뜻 잘 외워지지 않는 영단어를 아래 빈칸에 다시 써 봅시다.
Day 32,island,섬,,They live on a small island.,그들은 작은 섬에 산다.,,
Day 32,oil,(요리용) 기름,"(연료용) 기름, 석유",Add some oil to the pan.,팬에 기름을 좀 둘러라.,The price of oil is too high.,석유 가격이 너무 비싸다.
Day 32,write,(wrote-written) 1. (글자를) 쓰다,"(책 등을) 쓰다, 집필하다",Please write with a pencil.,연필로 써 주세요.,He wrote a book about love.,그는 사랑에 관한 책을 썼다.
Day 32,surprised,놀란,놀라는,He was surprised at her plan.,그는 그녀의 계획에 놀랐다.,0704 surprise,명 놀라운 일;  동 놀라게 하다
Day 32,safe,안전한,,Is it safe to swim here?,여기서 수영하는 것은 안전하니?,safety,명 안전
Day 32,blow,(blew-blown) 1. (바람이) 불다,(입으로) 불다,A cold wind is blowing from the west.,서쪽에서 찬 바람이 불고 있다.,He blew up the balloons for the children.,그는 아이들을 위해 풍선을 불었다.
Day 32,boring,지루한,따분한,This movie is very boring.,이 영화는 매우 지루하다.,0662 bored,형 지루해하는
Day 32,examination,시험 exam 0606,조사 3. 검사,I took a math examination today.,나는 오늘 수학 시험을 봤다.,They started an examination of the crime scene.,그들은 범죄 현장에 대한 조사를 시작했다.
Day 32,cheer,환호(성)    동 1. 환호[응원]하다,격려[위로]하다,We heard the loud cheers.,우리는 큰 환호성을 들었다.,"I cheered for him, but he didn't get the prize.","교과서 나는 그를 응원했지만, 그는 상을 타지 못했다."
Day 32,fee,수수료,요금 school fees 수업료,The parking fee here is too expensive.,여기 주차 요금은 너무 비싸다.,,
Day 32,different,"다른, 차이가 있는 same 0616",여러 가지의,She is very different from me.,그녀는 나와 매우 다르다.,Italy has about 350 different pasta dishes.,교과서 이탈리아에는 약 350가지의 여러 파스타 요리가 있다.
Day 32,host,(손님을 초대한) 주인,(TV · 라디오의) 진행자   3. 주최자,The host invited thirty guests to the party.,그 주인은 파티에 30명의 손님을 초대했다.,She is a radio show host.,그녀는 라디오 프로그램의 진행자이다.
Day 32,hall,복도,"홀, 강당",Don't run in the hall.,복도에서 뛰지 마라.,We will have a concert in the music hall.,교과서 우리는 뮤직홀에서 콘서트를 열 것이다.
Day 32,textbook,교과서,,Open your textbook to page 20.,교과서 20쪽을 펴라.,,
Day 32,through,(입구 · 통로 등을) 통(과)하여,지나서,She walked through the door.,그녀는 그 문을 통과하여 걸어갔다.,,
Day 32,count,"(총 수를) 세다, 계산하다",(수를 차례로) 세다,I counted the number of people.,나는 사람들의 수를 세었다.,The child can count from one to a hundred.,그 아이는 1부터 100까지 셀 수 있다.
Day 32,forest,숲,삼림,We walked in the forest.,우리는 숲속을 거닐었다.,a forest fire,산불
Day 32,history,역사,,I like Hangeul because its history is amazing.,교과서 내가 한글을 좋아하는 이유는 그 역사가 훌륭하기 때문이다.,DAY 32,
Day 32,stop by,잠시 들르다,,He will stop by the hospital.,그는 병원에 잠시 들를 것이다.,,
Day 32,be proud of,…을 자랑스러워하다,,We are proud of our daughter.,우리는 딸이 자랑스럽다.,IDIOMS & PHRASES,영단어 우리말 뜻 영단어 우리말 뜻 잘 외워지지 않는 영단어를 아래 빈칸에 다시 써 봅시다.
Day 33,travel,여행하다 tour 0591     명 여행,,My family traveled to Spain this summer.,교과서 우리 가족은 이번 여름에 스페인으로 여행을 갔다.,space travel,우주 여행
Day 33,chef,요리사,주방장,He is the chef of the restaurant.,그는 그 음식점의 주방장이다.,chef,"와 cook은 둘다 ‘요리사'를 의미하는데, chef는 보통 주방에서 모든 것을"
Day 33,crowd,군중,사람들    동 (사람이) 모여들다,The girl is looking for her dad in the crowd.,그 소녀는 군중 속에서 아빠를 찾고 있다.,People were crowding to see the famous singer.,사람들이 그 유명 가수를 보기 위해 모여들고 있었다.
Day 33,exciting,흥미진진한,재미있는,It was exciting to ride on the rough water.,교과서 거친 물살에 올라타는 것은 재미있었다.,0687 excited,"형 신이 난, 흥분한"
Day 33,shadow,그림자,,You can see the shadow of the building here.,너는 여기서 그 건물의 그림자를 볼 수 있다.,,
Day 33,miss,"놓치다, 빗나가다",(늦어서) 놓치다   3. 그리워하다,The baseball player missed the ball again.,그 야구 선수는 또 다시 공을 놓쳤다.,We missed the last train.,우리는 마지막 기차를 놓쳤다.
Day 33,tail,꼬리,,My dog has a long tail.,내 개는 꼬리가 길다.,,
Day 33,inside,안에,안으로    전 … 안에    명 안,She opened the door and walked inside.,교과서 그녀는 문을 열고 안으로 걸어 들어갔다.,A small doll was inside the box.,그 상자 안에 작은 인형 하나가 있었다.
Day 33,anything,[긍정문] 무엇이든,"[의문문 · 부정문] 무언가, 아무것도",You can ask me anything.,너는 내게 무엇이든 물어봐도 된다.,Do you know anything about him?,너는 그에 대해 뭔가 알고 있니?
Day 33,sometimes,때때로,가끔,She sometimes goes to school by bicycle.,그녀는 가끔 자전거를 타고 학교에 간다.,,
Day 33,fail,실패하다,(시험에) 떨어지다,We failed to cross the river.,우리는 그 강을 건너는 것을 실패했다.,She failed the exam.,그녀는 그 시험에 떨어졌다.
Day 33,farm,농장,,Many fruits are being grown on the farm.,많은 과일이 농장에서 재배되고 있다.,0665 farmer,명 농부
Day 33,other,"다른, 그 밖의",(둘 중) 다른 하나의    대 다른 것[사람],I want to try other things.,교과서 나는 다른 일을 해보고 싶다.,on the other hand,반면에
Day 33,interest,흥미,관심,I have an interest in movies.,나는 영화에 관심이 있다.,0675 interesting,"형 재미있는, 흥미로운"
Day 33,win,(won-won) 1. 이기다 lose 0604,"따다, 획득하다",They always win games by teamwork.,그들은 항상 팀워크를 통해 게임을 이긴다.,Korea won five gold medals.,한국은 5개의 금메달을 땄다.
Day 33,visitor,방문객,손님,Every visitor can have a free drink.,모든 방문객은 무료 음료 한 잔을 마실 수 있다.,0608 visit,동 방문하다;  명 방문
Day 33,river,강,,There are a lot of fish in the river.,그 강에는 물고기가 많다.,,
Day 33,part,부분,"일부, 약간",This is the best part of the musical.,이것이 그 뮤지컬에서 가장 좋은 부분이다.,part of the time,그 시간의 일부
Day 33,a little[few],금의,약간의,I put a little milk in the coffee.,나는 커피에 약간의 우유를 넣었다.,They will be there for a few days.,그들은 그곳에 며칠 간 있을 것이다.
Day 33,fall in love,(…에게) 반하다,(…와) 사랑에 빠지다,He fell in love with her.,그는 그녀와 사랑에 빠졌다.,IDIOMS & PHRASES,영단어 우리말 뜻 영단어 우리말 뜻 잘 외워지지 않는 영단어를 아래 빈칸에 다시 써 봅시다.
Day 34,mirror,거울,,He looked in the mirror and painted himself.,교과서 그는 거울을 들여다보며 자기 자신을 그렸다.,,
Day 34,bored,지루해하는,,"I was bored, so I turned on the TV.",,0627 boring,"형 지루한, 따분한"
Day 34,check,확인하다,점검하다    명 확인,Please check your email.,당신의 이메일을 확인해 주세요.,a health check,건강 검진
Day 34,traveler,여행자,,Many travelers visit Korea every year.,매년 많은 여행자들이 한국을 방문한다.,0641 travel,동 여행하다; 명 여행
Day 34,farmer,농부,,The farmer planted trees.,그 농부는 나무들을 심었다.,0652 farm,명 농장
Day 34,receive,받다,,I received a letter from him.,나는 그에게서 편지 한 통을 받았다.,,
Day 34,alone,혼자인,외로운 lonely 0707     부 혼자,I was alone in the house.,나는 집에 혼자 있었다.,He felt alone.,그는 외로웠다.
Day 34,something,무엇,어떤 것,I want to ask you something.,나는 너에게 뭘 좀 물어보고 싶다.,something to drink,마실 것
Day 34,enough,충분한    부 충분히,,We don't have enough time.,우리는 시간이 충분하지 않다.,Did you study enough for the test?,너는 시험공부를 충분히 했니?
Day 34,worry,걱정하다    명 걱정,고민거리,Our parents always worry about us.,부모님은 항상 우리를 걱정하신다.,a big worry,큰 고민거리
Day 34,still,아직도,여전히,He is still angry at me.,그는 아직도 내게 화가 나 있다.,a still summer night (,바람 한 점 없는 여름밤)
Day 34,gym,체육관,헬스장,They played basketball in the gym.,그들은 체육관에서 농구를 했다.,The gym has many treadmills.,그 헬스장에는 많은 러닝머신이 있다.
Day 34,honest,정직한,솔직한,She is a very honest person.,그녀는 매우 정직한 사람이다.,to be honest,솔직히 말해서
Day 34,understand,(understood-understood) 이해하다,알아듣다,me.,"교과서 나는 그에게 스페인어로 말했지만, 그는 내 말을 알아듣지 못했다.",,
Day 34,interesting,재미있는,흥미로운,She liked telling us about interesting places.,교과서 그녀는 우리에게 흥미로운 장소에 대해 말하는 것을 좋아했다.,0654 interest,"명 흥미, 관심"
Day 34,spend,"(spent-spent) 1. (돈을) 쓰다, 소비하다",(시간을) 보내다,He spends too much money on clothes.,그는 옷에 너무 많은 돈을 쓴다.,I spent the weekend with my family.,나는 가족과 함께 주말을 보냈다.
Day 34,rest,휴식    동 쉬다,휴식하다,You should get some rest.,너는 좀 쉬어야 한다.,She rested at home yesterday.,그녀는 어제 집에서 쉬었다.
Day 34,climb,오르다,등반하다,A monkey is climbing a tree.,원숭이 한 마리가 나무에 오르고 있다.,We climbed up the mountain.,우리는 그 산을 등반했다.
Day 34,cheer up,격려하다,,My friends cheered me up.,내 친구들이 나를 격려해 주었다.,,
Day 34,write down,…을 적다,,I will write down your name.,나는 너의 이름을 적을 것이다.,IDIOMS & PHRASES,영단어 우리말 뜻 영단어 우리말 뜻 잘 외워지지 않는 영단어를 아래 빈칸에 다시 써 봅시다.
Day 35,writer,작가,필자,Who is the writer of this book?,이 책의 작가는 누구인가요?,0623 write,"동 (글자를) 쓰다; (책 등을) 쓰다, 집필하다"
Day 35,guess,추측하다,짐작하다    명 추측,Can you guess the time in the picture?,교과서 사진 속 시간이 몇 시인지 추측해 볼 수 있겠니?,make a guess,추측하다
Day 35,boil,끓다,끓이다,Water boils at 100˚C.,물은 섭씨 100도에서 끓는다.,She boiled water in a pot.,그녀는 냄비에 물을 끓였다.
Day 35,already,이미,벌써,All of the students have already left the classroom.,모든 학생들이 이미 교실을 떠났다.,DAY,
Day 35,speech,연설,,His speech was boring.,그의 연설은 지루했다.,give[make] a speech,연설하다
Day 35,lazy,게으른,나태한,Don't be lazy!,게으름 피우지 마라!,,
Day 35,excited,신이 난,흥분한,They are excited about the concert.,그들은 그 콘서트에 대해 신이 나 있다.,0644 exciting,"형 흥미진진한, 재미있는"
Day 35,most,최대[최고]의,대부분의    대 대부분,This is the most beautiful city in Korea.,이곳은 한국에서 가장 아름다운 도시이다.,We like most food.,우리는 대부분의 음식을 좋아한다.
Day 35,place,"장소, 곳",집,Her job is to find perfect places for shooting.,교과서 그녀의 일은 촬영하기에 알맞은 장소들을 찾는 것이다.,I went to her place for dinner.,나는 그녀의 집에 저녁을 먹으러 갔다.
Day 35,company,회사,"동료, 일행",He works for an oil company.,그는 정유 회사에서 일한다.,Do you have company?,일행이 있으신가요?
Day 35,space,공간,우주,The desk takes up too much space.,그 책상은 너무 많은 공간을 차지한다.,People will travel in space.,사람들은 우주에서 여행을 할 것이다.
Day 35,exercise,운동    동 운동하다,,I go to the gym for exercise.,교과서 나는 운동을 하러 헬스장에 간다.,I usually exercise at the gym.,나는 보통 체육관에서 운동한다.
Day 35,outside,밖에,밖으로    전 … 밖에    명 외부,They're waiting for you outside.,그들이 너를 밖에서 기다리고 있다.,I left my umbrella outside the café.,나는 내 우산을 카페 밖에 두었다.
Day 35,weight,무게,체중,His weight is 65 kg.,,lose[put on] weight,체중이 줄다[늘다]
Day 35,goal,"골, 득점",목표,He made two goals in his first game.,그는 첫 경기에서 두 골을 넣었다.,set a goal,목표를 세우다
Day 35,interested,흥미 있는,관심 있는,I was interested in the lecture yesterday.,나는 어제 그 강의에 흥미가 있었다.,"Everyone talked about the event, and I got interested.","교과서 모든 사람이 그 행사에 대해 말했고, 나도 관심을 가지게 되었다."
Day 35,club,클럽,동아리,I'm in the school soccer club.,교과서 나는 교내 축구 동아리에 소속되어 있다.,,
Day 35,stomach,위,배,My stomach hurts a lot.,나는 배가 많이 아프다.,DAY 35,
Day 35,hand in,…을 제출하다,,You need to hand in your homework.,너는 숙제를 제출해야 한다.,1. hand over (,넘겨주다)
Day 35,take out,…을 꺼내다,,She took out a snack from her bag.,그녀는 가방에서 간식을 꺼냈다.,IDIOMS & PHRASES,영단어 우리말 뜻 영단어 우리말 뜻 잘 외워지지 않는 영단어를 아래 빈칸에 다시 써 봅시다.
Day 36,while,…하는 동안,…에 반하여,They came while we were sleeping.,우리가 자고 있는 동안 그들이 왔다.,"While she likes baseball, I like soccer.","그녀는 야구를 좋아하는 반면, 나는 축구를 좋아한다."
Day 36,beat,"(beat-beaten) 1. 때리다, 두드리다",이기다,He was beating a drum.,그는 북을 치고 있었다.,I beat her at badminton.,나는 배드민턴으로 그녀를 이겼다.
Day 36,calm,침착한,차분한    동 진정하다,She spoke in a calm voice.,그녀는 침착한 목소리로 말했다.,Please calm down first.,우선 진정하세요.
Day 36,surprise,놀라운 일    동 놀라게 하다,,It was a surprise to us.,그것은 우리에게 놀라운 일이었다.,That story surprised me.,그 이야기는 나를 놀라게 했다.
Day 36,hang,(hung-hung) 걸(리)다,매달(리)다,I hung the mirror on the wall.,나는 벽에 거울을 걸었다.,The monkey was hanging from the tree.,그 원숭이는 나무에 매달려 있었다.
Day 36,believe,믿다,,Do you believe her story?,너는 그녀의 이야기를 믿니?,belief,명 믿음
Day 36,lonely,외로운,쓸쓸한,"He lived alone, so he felt lonely.",그는 혼자 살아서 외롭다고 느꼈다.,,
Day 36,lovely,사랑스러운,예쁜,A lovely girl smiled at me.,한 사랑스러운 소녀가 나를 향해 미소 지었다.,,
Day 36,wonder,궁금하다    명 경탄,놀라움,"""Who is that man?"" she wondered.","""저 남자는 누구지?""라며 그녀는 궁금해했다.",He looked at the moon in wonder.,그는 경탄하며 달을 보았다.
Day 36,rope,밧줄,로프,He pulled the rope hard.,그는 밧줄을 세게 당겼다.,jump rope,"줄넘기, 줄넘기 줄"
Day 36,pour,"따르다, 붓다","(비가) 쏟아지다, 퍼붓다",She poured milk into the cup.,그녀는 컵에 우유를 따랐다.,The rain is pouring down today.,오늘은 비가 쏟아지고 있다.
Day 36,famous,유명한,,He is a famous film star.,그는 유명한 영화 배우이다.,The restaurant is famous for its seafood.,그 음식점은 해산물로 유명하다.
Day 36,list,단,목록,Your name isn't on the list.,너의 이름은 명단에 없다.,a shopping list,쇼핑 목록
Day 36,project,"(대규모의) 계획, 프로젝트",(학교에서의) 연구 과제,They worked on a project to build an airport.,그들은 공항을 짓는 프로젝트를 수행했다.,We're doing a science project.,우리는 과학 과제를 하고 있다.
Day 36,carry,"나르다, 운반하다",가지고 다니다,Please carry these boxes.,이 상자들을 운반해 주세요.,I always carry my camera.,나는 항상 내 카메라를 가지고 다닌다.
Day 36,sweet,단,달콤한,This chocolate is very sweet.,이 초콜릿은 매우 달다.,,
Day 36,pay,(paid-paid) (돈을) 지불하다,내다,I didn't pay the entrance fee.,교과서 나는 입장료를 지불하지 않았다.,,
Day 36,drink,마시다    명 마실 것,음료,I'm drinking mint tea at a tea house.,교과서 난 찻집에서 민트차를 마시고 있다.,Do you want a drink?,너는 마실 것을 원하니?
Day 36,on time,시간을 어기지 않고,제 시간에,The bus arrived on time.,그 버스는 제 시간에 도착했다.,,
Day 36,be worried,…에 대해 걱정하다,,He is worried about his friend.,그는 친구를 걱정하고 있다.,IDIOMS & PHRASES,영단어 우리말 뜻 영단어 우리말 뜻 잘 외워지지 않는 영단어를 아래 빈칸에 다시 써 봅시다.
Day 37,festival,축제,,I want to go to the film festival.,나는 그 영화제에 가고 싶다.,,
Day 37,sleep,(slept-slept) 자다    명 잠,수면,He slept seven hours yesterday.,그는 어제 7시간을 잤다.,You should get some sleep.,너는 잠을 좀 자야 한다.
Day 37,shy,끄럼을 타는,수줍어하는,I was a shy girl.,나는 부끄럼을 타는 소녀였다.,a shy smile,수줍은 미소
Day 37,neighbor,이웃,,me.,교과서,DAY,
Day 37,ground,((the ...)) 지면,땅 above the ground 지상에,Leaves fell to the ground.,나뭇잎들이 땅으로 떨어졌다.,,
Day 37,important,중요한,,it.,"교과서 물은 매우 중요하고, 우리는 그것 없이는 살 수 없다.",,
Day 37,pond,연못,,A duck is swimming in the pond.,오리 한 마리가 연못에서 헤엄치고 있다.,,
Day 37,roll,구르다,굴리다,The stone rolled down the hill.,그 돌이 언덕을 굴러 내려왔다.,They rolled the snow into a ball.,그들은 눈을 굴려 둥글게 만들었다.
Day 37,practice,연습하다    명 연습,,They practiced hard for the upcoming game.,그들은 다가오는 경기를 위해 열심히 연습했다.,There is a soccer practice at 2 p.m.,오후 2시에 축구 연습이 있다.
Day 37,bill,"고지서, 청구서",지폐,She paid the gas bill.,그녀는 가스 고지서 요금을 납부했다.,a five-dollar bill 5,달러짜리 지폐
Day 37,beef,소[쇠]고기,,I ate beef for dinner.,나는 저녁으로 소고기를 먹었다.,0068 meat (,고기) pork (돼지고기) lamb (양고기)
Day 37,excuse,용서하다,봐주다    명 [Ikskjs] 변명,Excuse me for calling late.,늦게 전화해서 죄송합니다.,make an excuse,변명하다
Day 37,stick,나뭇가지,"지팡이    동 (stuck-stuck) 붙다, 붙이다",He threw the stick in the fire.,그는 그 나뭇가지를 불에 던졌다.,She walks with a stick.,교과서 그녀는 지팡이를 들고 걷는다.
Day 37,vacation,방학,휴가,Summer vacation starts in July.,여름 방학은 7월에 시작한다.,on vacation,휴가 중인
Day 37,wonderful,멋진,훌륭한,We had a wonderful time yesterday.,우리는 어제 멋진 시간을 보냈다.,0709 wonder,"동 궁금하다; 명 경탄, 놀라움"
Day 37,behind,[위치] … 뒤에,[발달 · 진도] …에 뒤(처)져,I sat behind my brother.,나는 내 남동생 뒤에 앉았다.,We're five points behind them.,우리는 그들보다 5점 뒤처져 있다.
Day 37,stay,머무르다    명 머무름,방문,"My cat, Tommy, stayed by my side.",교과서,I enjoyed my stay in Rome.,나는 로마에서 머무는 것이 즐거웠다.
Day 37,another,또 하나의    대 또 하나의 것[사람],,Give me another glass of water.,물 한 잔 더 주세요.,This sandwich is delicious. May I have another?,이 샌드위치 맛있네요. 하나 더 먹어도 될까요?
Day 37,work out,운동하다,,She works out every day.,그녀는 매일 운동한다.,workout,명 운동
Day 37,hang out,시간을 보내다,어울려 놀다,I hang out with my friends after school.,나는 방과 후에 친구들과 어울려 논다.,IDIOMS & PHRASES,영단어 우리말 뜻 영단어 우리말 뜻 잘 외워지지 않는 영단어를 아래 빈칸에 다시 써 봅시다.
Day 38,join,가입하다,"함께 하다, 합류하다",band.,교과서 우리 학교에서는 많은 학생들이 학교 밴드에 가입한다.,Will you join us for dinner?,저녁 식사에 우리와 함께 하시겠어요?
Day 38,dialogue,(소설·영화 등의) 대화,회화,Listen to the dialogue carefully.,그 대화를 주의 깊게 들어라.,dialogue,"는 문학, 서적, 공식적인 토론 등에서 사용되는 ‘대화'를 의미합니다. 일반적인"
Day 38,blank,공백의,빈    명 빈칸,There are two blank pages in the book.,그 책에는 2장의 빈 페이지가 있다.,I wrote my name on the blank.,나는 빈칸에 내 이름을 썼다.
Day 38,problem,문제,어려움,Pollution is a big problem.,교과서 공해는 큰 문제이다.,solve a problem,문제를 해결하다
Day 38,crash,충돌[추락]하다    명 (자동차의) 충돌,(비행기의) 추락,The truck crashed into the bus.,그 트럭은 버스와 충돌했다.,a plane crash,비행기 추락 사고
